#
# Directed graph - k-core nodes. G(5242, 28980). (Thu Oct 26 14:28:15 2017)
#
# k-Core	Number of nodes in the k-Core
0	5242
1	5242
2	5242
3	3920
4	3920
5	2613
6	2613
7	1585
8	1585
9	917
10	917
11	568
12	568
13	455
14	455
15	405
16	405
17	360
18	360
19	321
20	321
21	316
22	316
23	278
24	278
25	273
26	273
27	259
28	259
29	244
30	244
31	228
32	228
33	228
34	228
35	193
36	193
37	193
38	193
39	191
40	191
41	170
42	170
43	148
44	148
45	148
46	148
47	124
48	124
49	124
50	124
51	123
52	123
53	123
54	123
55	123
56	123
57	123
58	123
59	123
60	123
61	123
62	123
63	115
64	115
65	115
66	115
67	81
68	81
69	46
70	46
71	46
72	46
73	46
74	46
75	46
76	46
77	46
78	46
79	46
80	46
81	46
82	46
83	46
84	46
85	44
86	44
