#
# Directed graph - clustering coefficient. G(1005, 25571). Average clustering: 0.3994  OpenTriads: 866833 (0.8915)  ClosedTriads: 105461 (0.1085) (Thu Oct 26 13:39:40 2017)
#
# Node degree	Average clustering coefficient
1	0
2	0.291667
3	0.462366
4	0.525253
5	0.681481
6	0.624638
7	0.547253
8	0.523016
9	0.536012
10	0.460847
11	0.579125
12	0.562266
13	0.539694
14	0.514653
15	0.539515
16	0.477241
17	0.555427
18	0.572435
19	0.494856
20	0.456274
21	0.554085
22	0.454607
23	0.461881
24	0.468095
25	0.41258
26	0.397689
27	0.487453
28	0.486215
29	0.48658
30	0.524339
31	0.471493
32	0.472932
33	0.551699
34	0.485791
35	0.533116
36	0.441314
37	0.447458
38	0.430808
39	0.473238
40	0.442087
41	0.449492
42	0.458375
43	0.478201
44	0.491915
45	0.452967
46	0.435955
47	0.426486
48	0.512406
49	0.471884
50	0.448237
51	0.521338
52	0.375487
53	0.372983
54	0.402596
55	0.47339
56	0.373253
57	0.377478
58	0.426258
59	0.45287
60	0.405681
61	0.322889
62	0.411819
63	0.393878
64	0.385542
65	0.351282
66	0.341926
67	0.437535
68	0.348538
69	0.437973
70	0.343947
71	0.46356
72	0.379817
73	0.360422
74	0.36969
75	0.282765
76	0.40837
77	0.347175
78	0.3395
79	0.378571
80	0.363026
81	0.357488
82	0.422278
83	0.367517
84	0.474294
85	0.278281
86	0.345292
87	0.391731
88	0.341403
89	0.38052
90	0.415151
91	0.361611
92	0.284145
93	0.266481
94	0.393122
95	0.307104
96	0.377955
97	0.333885
98	0.327889
99	0.31051
100	0.35082
101	0.324382
102	0.371532
103	0.298017
104	0.203838
106	0.392927
107	0.222086
108	0.385326
109	0.292774
110	0.301511
111	0.320827
112	0.361441
114	0.274364
115	0.284709
116	0.264648
117	0.347983
118	0.277498
119	0.336232
120	0.28323
121	0.317684
124	0.297819
126	0.354114
127	0.228279
128	0.215784
130	0.317901
132	0.342746
133	0.289957
134	0.229174
135	0.259568
136	0.411322
137	0.321605
138	0.288682
139	0.273582
140	0.34086
141	0.326683
142	0.304788
144	0.316386
145	0.202189
146	0.297199
148	0.222971
149	0.221398
155	0.295694
156	0.17288
158	0.228083
161	0.297803
162	0.335088
163	0.280867
164	0.260073
165	0.241412
166	0.21632
167	0.285933
169	0.236858
170	0.316277
174	0.344755
175	0.214893
178	0.135599
181	0.309255
193	0.27508
195	0.276741
199	0.27409
201	0.311082
202	0.155183
203	0.16716
204	0.199478
205	0.25378
208	0.144292
209	0.328871
213	0.291546
215	0.173278
216	0.238066
218	0.293736
219	0.214861
223	0.244526
230	0.251079
233	0.1109
234	0.267032
236	0.279137
238	0.264337
240	0.248039
242	0.262044
249	0.131594
252	0.174384
263	0.217759
272	0.254838
275	0.220075
280	0.107002
302	0.202752
308	0.201105
348	0.166083
356	0.120586
369	0.152034
373	0.170039
379	0.172899
546	0.093512
