#
# Directed graph - k-core nodes. G(1005, 25571). (Thu Oct 26 14:28:47 2017)
#
# k-Core	Number of nodes in the k-Core
0	1005
1	1005
2	934
3	886
4	853
5	821
6	802
7	779
8	751
9	732
10	723
11	715
12	698
13	687
14	680
15	667
16	651
17	641
18	628
19	620
20	613
21	601
22	591
23	576
24	568
25	557
26	543
27	533
28	523
29	513
30	494
31	475
32	463
33	443
34	436
35	421
36	410
37	372
38	364
39	356
40	345
41	325
42	319
43	308
44	286
45	279
46	236
47	219
48	215
49	180
50	154
51	150
52	140
53	138
54	129
55	107
56	98
