#
# Directed graph - in-degree Distribution. G(1005, 25571). 134 (0.1333) nodes with in-deg > avg deg (50.9), 28 (0.0279) with >2*avg.deg (Thu Oct 26 17:47:22 2017)
#
# In-degree	Count
0	14
1	99
2	47
3	42
4	35
5	32
6	23
7	23
8	22
9	29
10	14
11	20
12	17
13	16
14	20
15	10
16	22
17	14
18	18
19	19
20	23
21	12
22	18
23	22
24	13
25	16
26	10
27	15
28	13
29	18
30	7
31	5
32	13
33	7
34	13
35	8
36	11
37	11
38	6
39	14
40	7
41	10
42	6
43	8
44	7
45	8
46	9
47	10
48	6
49	5
50	4
51	6
52	4
53	7
54	3
55	4
56	1
57	1
58	2
60	3
61	7
62	5
63	3
64	1
65	2
66	3
67	1
68	7
69	1
70	2
71	1
72	2
73	3
74	3
75	2
76	3
77	4
80	1
82	1
83	2
85	2
86	2
87	1
88	1
90	2
92	4
93	1
94	1
96	3
97	1
99	1
101	2
103	1
104	2
106	1
109	3
111	1
112	1
115	1
116	1
118	2
120	1
121	1
124	1
127	1
128	1
132	1
136	1
139	1
143	1
151	1
154	1
157	1
169	1
179	1
212	1
