#
# Directed graph - out-degree Distribution. G(1005, 25571). 150 (0.1493) nodes with out-deg > avg deg (50.9), 42 (0.0418) with >2*avg.deg (Thu Oct 26 17:47:22 2017)
#
# Out-degree	Count
0	137
1	90
2	43
3	35
4	22
5	11
6	15
7	17
8	21
9	18
10	15
11	14
12	15
13	17
14	22
15	12
16	18
17	19
18	19
19	16
20	20
21	7
22	9
23	23
24	20
25	8
26	15
27	8
28	7
29	9
30	9
31	7
32	12
33	8
34	8
35	11
36	8
37	7
38	6
39	5
40	12
41	8
42	6
43	6
44	9
45	7
46	4
47	6
48	7
49	4
50	3
51	5
52	5
53	4
54	5
55	3
56	4
57	2
58	5
59	3
60	2
61	3
63	2
64	6
65	3
66	3
67	6
68	1
69	2
70	3
72	3
73	2
74	2
75	1
76	4
77	2
78	2
79	4
82	2
83	2
84	4
87	2
88	1
89	2
91	2
93	1
94	1
95	3
101	1
102	1
105	1
106	2
107	1
108	1
109	1
110	2
112	1
113	3
114	1
115	1
117	1
118	1
119	2
120	2
123	1
125	3
127	1
129	1
130	1
131	1
136	1
145	1
156	1
157	1
159	1
160	1
172	1
190	1
202	1
204	1
222	1
227	1
334	1
