	node	centrality
0	3466	23552.7923353
1	10310	120267.16662
2	5052	335351.919635
3	5346	151183.119743
4	15159	2496.24350673
5	19640	98598.7233751
6	10243	19615.354555
7	18648	1080.98855794
8	16470	0.0
9	17822	0.0
10	14265	270935.454568
11	19738	26591.3785537
12	8612	65447.6611227
13	10822	0.0
14	16258	27804.5921245
15	21194	0.0
16	14123	36591.7084297
17	2710	306964.800129
18	18757	26710.7786121
19	16148	216114.681375
20	10794	0.0
21	7050	9688.46364931
22	4846	31376.3380285
23	824	5743.97698076
24	2133	649.946750792
25	6610	175302.362536
26	6700	93354.4117925
27	11082	15462.9119193
28	14419	2804.93533367
29	17330	12556.9863137
30	18487	72757.1500209
31	22779	0.0
32	23382	119635.332815
33	12928	0.0
34	13740	24295.8164844
35	13096	229023.299588
36	22393	6915.89169225
37	3872	15746.0166063
38	23096	0.0
39	8862	11889.208185
40	22598	94708.8252255
41	8254	33993.20459
42	17309	0.0
43	24833	40874.6521534
44	10115	1.0
45	23916	0.0
46	7893	22666.0501592
47	18051	30865.704706
48	4515	9253.87741
49	16778	6647.11234281
50	8978	0.0
51	9017	80191.4701344
52	15170	0.0
53	15455	46754.5317319
54	16589	4770.23798488
55	7510	0.0
56	8851	39323.5283889
57	624	59606.0227884
58	2654	233390.946759
59	10130	85454.7147266
60	16032	97431.1571189
61	3937	1528.12109026
62	21012	159960.872734
63	22691	134247.160699
64	19215	0.0
65	2980	14977.7769271
66	14376	0.0
67	9522	30506.3637036
68	9572	352746.524917
69	17394	0.0
70	18924	10188.7098174
71	3441	19592.7270526
72	10268	20361.785705
73	7188	26967.9497627
74	18866	207053.974282
75	4870	0.0
76	5175	7608.41808193
77	8282	0.0
78	22046	48259.9846859
79	8157	0.0
80	2120	0.0
81	7713	0.0
82	19052	0.0
83	8302	0.0
84	16484	0.0
85	17778	4957.36165358
86	21699	14.6745826671
87	8701	37953.8415619
88	17379	47484.3640492
89	6858	0.0
90	8148	0.0
91	15366	0.0
92	9360	58364.8962784
93	11102	27936.1673716
94	25758	113934.363603
95	9755	64513.6582295
96	14344	2082.66154597
97	24163	0.0
98	12691	0.0
99	3420	5743.95592746
100	7442	100188.044249
101	7768	67397.5283357
102	4624	73472.1155271
103	15770	16615.0
104	23099	0.0
105	14337	22732.7050643
106	15799	43564.5359367
107	11241	16787.4762683
108	25271	55340.9237287
109	25396	42359.5231382
110	16994	148985.927304
111	21776	24193.1074221
112	3345	27467.0050571
113	8868	0.0
114	11077	52999.0075406
115	17162	0.0
116	21389	1.83333333333
117	6895	0.0
118	12968	22796.3052216
119	15144	61410.5426053
120	19974	13540.7508366
121	8708	0.0
122	23776	0.0
123	13597	86049.9272558
124	20303	24708.6440826
125	3032	32177.9545187
126	22415	32682.3867124
127	4700	0.0
128	9124	99144.8648582
129	4046	0.0
130	21806	24658.8434784
131	3409	10250.2398422
132	18001	0.0
133	22177	105026.591809
134	25480	5097.81404932
135	8916	33187.7274001
136	12334	70880.8079709
137	13713	0.0
138	2949	49828.3873898
139	7042	939.180087747
140	10113	14895.2440388
141	11661	17440.6240401
142	13621	0.0
143	25388	0.0
144	284	0.0
145	6427	20768.0
146	1044	11290.1946643
147	5809	0.0
148	811	37523.3076014
149	15123	8310.0
150	16083	24730.7930217
151	2127	0.0
152	11712	43036.5628616
153	3412	0.0
154	10762	235252.239524
155	13847	16177.410563
156	17207	26627.4523841
157	7689	342881.133418
158	18457	0.0
159	17228	58058.2991938
160	20207	28582.9157483
161	17559	21905.99164
162	19206	32.8716541491
163	13813	57267.1066226
164	7504	31029.9930474
165	12212	35004.8290043
166	1545	65834.4611572
167	10791	62882.1985191
168	10919	0.0
169	10588	51969.7431355
170	5729	0.0
171	1310	20903.7330231
172	23186	9380.73669907
173	25931	21171.2557167
174	9710	66610.9292509
175	7007	208856.582474
176	17536	55132.3859733
177	22476	25488.6872619
178	5233	0.0
179	17932	31785.5464793
180	1000	199898.27288
181	23107	28489.768372
182	23939	95384.1128458
183	5464	15290.8750669
184	13653	0.0
185	26038	73175.3967014
186	23576	8310.0
187	580	0.0
188	1877	18425.1400737
189	2042	49399.1364479
190	15880	39225.8473569
191	16101	56709.4825505
192	20014	10249.7153226
193	2846	68548.4779957
194	18375	0.0
195	8335	53223.2265731
196	13529	0.0
197	6494	4002.34765033
198	6857	31731.734981
199	24781	22364.2885615
200	14308	7916.70981594
201	20787	1094.43698022
202	23689	0.0
203	25143	1218.07018578
204	22184	22834.0640524
205	5597	33229.6363141
206	23836	33967.1527069
207	6355	0.0
208	7194	25.0
209	20960	0.0
210	23066	16612.0
211	14500	0.0
212	3765	31479.0371312
213	1508	0.0
214	8279	562.483249803
215	2004	0.0
216	21191	0.0
217	21663	16612.0
218	14020	33209.0
219	16543	23111.5143286
220	16563	3.0
221	238	8310.0
222	8887	0.0
223	6072	0.0
224	491	12364.636845
225	1818	0.0
226	17082	23728.3986873
227	17039	0.0
228	3547	102628.025168
229	14707	3888.74856176
230	14818	3534.53760938
231	6804	14513.31732
232	19624	4377.13377918
233	214	18770.041507
234	6512	24462.6356436
235	10590	13624.18037
236	18904	4832.46020436
237	2190	0.0
238	11801	28713.7146755
239	23441	13970.0245292
240	449	85970.7417895
241	10358	0.0
242	10615	2148.8775009
243	12074	1065.5570012
244	3099	2181.98297961
245	4254	0.0
246	9337	0.0
247	1497	4156.0
248	6724	22029.6286596
249	2558	0.0
250	15538	33683.5194367
251	21910	82499.2512927
252	8968	73735.8331049
253	12260	0.0
254	4241	130031.155864
255	24924	157326.501417
256	4697	22867.835347
257	22082	11356.604286
258	13276	187402.271323
259	15409	0.0
260	639	6159.67836175
261	1153	0.0
262	17501	45497.6526284
263	16834	8310.0
264	570	38273.9641744
265	19657	37593.6434455
266	26190	8057.49465564
267	1727	38546.4862474
268	19992	31550.6324733
269	9417	630.715257839
270	24009	20773.7607203
271	15961	0.0
272	14316	6426.49966696
273	14690	25328.7959428
274	13008	65893.2700167
275	4550	93375.6897929
276	13142	217872.660621
277	24330	46265.1948837
278	15666	0.0
279	15205	0.333333333333
280	24640	3.0
281	15415	0.0
282	8365	16183.3104975
283	17075	63911.2432697
284	23665	37545.7189329
285	78	3429.0700255
286	140	7465.2439964
287	24122	0.0
288	18365	85118.3015226
289	1248	2142.33238655
290	16331	1471.54560782
291	17843	442.977827002
292	4952	188321.207925
293	5060	0.0
294	20660	10096.0070684
295	11447	11370.9980321
296	7383	53398.6564652
297	21432	76231.6932451
298	13929	338516.368096
299	5136	0.0
300	13556	162434.326492
301	6934	60864.8554296
302	20683	8211.13195117
303	25419	1738.64589625
304	21771	98233.8049876
305	22644	77130.5630106
306	10467	8310.0
307	13175	0.0
308	21816	0.0
309	11640	1731.26935347
310	14371	0.0
311	17443	6676.83608286
312	16310	139356.884321
313	19517	49149.4356395
314	22989	3543.43563948
315	23708	176117.836202
316	5934	71553.7245106
317	15066	51146.2644248
318	16469	25656.2992565
319	4383	0.0
320	13614	77141.7548909
321	17245	19363.6347398
322	10620	2525.54970905
323	1880	0.0
324	15353	8311.0
325	21048	28440.9957742
326	8932	0.0
327	6709	0.0
328	18003	1.0
329	12135	29060.0
330	3209	0.0
331	6863	0.0
332	24371	157016.995384
333	1833	0.0
334	12107	0.0
335	8177	29068.0
336	14967	18271.0158145
337	16741	35544.502034
338	19233	0.5
339	19297	95243.8331521
340	20597	0.0
341	7542	0.0
342	7350	107818.365998
343	7712	47681.247752
344	19149	0.0
345	11275	136330.427945
346	14638	24629.414018
347	11566	0.0
348	11808	0.0
349	18560	0.0
350	13282	994.684637908
351	15249	0.0
352	15624	0.0
353	4766	0.0
354	12665	0.0
355	3310	75271.4896262
356	7449	7455.75129967
357	22778	34790.1628931
358	23351	2331.07560933
359	23943	0.0
360	17754	4156.0
361	25674	0.0
362	16123	11463.0143208
363	10841	37173.261757
364	1403	19909.1793043
365	2368	33735.6616763
366	20168	54204.0710009
367	8503	35356.5760406
368	18719	18595.3443073
369	18867	0.0
370	23409	0.0
371	10942	45046.8546048
372	23647	69743.3671607
373	22119	30592.2113603
374	3953	24906.0
375	5672	0.0
376	3430	16750.5699769
377	24431	16631.0540407
378	16020	25597.1920119
379	23986	24866.3443977
380	16675	0.0
381	13859	20765.0
382	16091	0.0
383	2081	0.0
384	1941	5219.40833135
385	15846	19125.6729049
386	2054	10.0
387	10355	0.0
388	13469	51509.6470309
389	23137	0.0
390	896	840.681005455
391	21158	0.0
392	9629	20990.9715563
393	25783	1186.805683
394	17038	133458.920173
395	19865	233076.338894
396	10134	0.0
397	7899	5669.32834554
398	18109	6388.24208232
399	3561	30232.8365348
400	8231	0.0
401	24149	0.0
402	25934	4156.0
403	14485	322725.945605
404	22254	0.0
405	21754	63525.4403101
406	13635	45632.0
407	12498	7599.62343544
408	2870	18400.1089
409	22555	41501.2972402
410	16368	50347.5535821
411	11821	0.0
412	21469	0.0
413	23503	7688.55616823
414	16429	6793.10342607
415	21608	21616.6749709
416	8476	0.0
417	10458	4156.0
418	5674	0.0
419	13388	0.0
420	12739	13424.198235
421	18676	21120.8263071
422	1711	28239.7983527
423	6726	0.0
424	16931	45630.0
425	21491	70076.8369319
426	16414	65236.8959397
427	25408	8310.0
428	8378	0.0
429	135	22720.1335939
430	6408	27791.6377879
431	9889	104395.815967
432	773	13022.1212543
433	9341	0.0
434	21847	978.662749668
435	14628	0.0
436	12842	40496.5928374
437	215	0.0
438	185	0.0
439	351	0.0
440	1074	0.0
441	1858	0.0
442	3939	26878.8500594
443	4512	0.0
444	6892	0.0
445	8280	0.0
446	14542	0.0
447	17751	0.0
448	18095	0.0
449	18143	0.0
450	18649	0.0
451	18943	0.0
452	19573	0.0
453	22601	47773.3968822
454	22793	0.0
455	5835	12704.5547699
456	6219	0.0
457	18160	0.0
458	24568	13871.5276481
459	5555	13990.8090964
460	7459	68060.5057125
461	3804	92015.0116127
462	293	0.0
463	25158	15411.0277315
464	22436	0.0
465	9504	0.0
466	25215	16616.0
467	13174	992.26174811
468	392	0.0
469	23344	57465.6827899
470	10956	16876.9087588
471	22899	1613.15439363
472	23552	10341.2742809
473	14093	21613.5299896
474	1425	12624.3713971
475	6832	0.0
476	18940	86885.203478
477	10235	28137.6246865
478	24620	3819.33529775
479	20230	0.0
480	22483	19366.5632161
481	2926	448.146192666
482	22275	14324.7743154
483	16159	10633.3851751
484	14698	0.0
485	6075	2.0
486	20345	0.0
487	14499	0.0
488	10801	34190.3163742
489	11902	8311.0
490	23870	3725.28573795
491	2607	2281.77486336
492	9450	1852.52098033
493	1217	92126.3796213
494	2165	38810.4749465
495	6033	0.0
496	23233	1486.35283288
497	1172	24918.5434709
498	8408	5649.45072345
499	11493	0.0
500	5059	0.0
501	21530	1.0
502	11032	16612.0
503	22074	72387.4698276
504	379	3051.19210816
505	3909	76022.447678
506	3593	15085.2753622
507	16607	6085.31129023
508	2752	2512.40791817
509	18171	1.0
510	5413	0.0
511	25872	0.0
512	20148	63761.65231
513	19219	1234.62533634
514	6094	6830.45708427
515	24860	4551.18164409
516	25948	2828.42558987
517	11617	0.0
518	8774	12943.2578884
519	25902	19429.3556593
520	21823	856.850896596
521	10435	856.850896596
522	1765	30219.3983894
523	20307	0.0
524	1194	0.0
525	21858	0.0
526	7829	8311.0
527	19101	17662.0545598
528	4252	0.0
529	24451	1.0
530	24270	6153.65190225
531	25435	16612.0
532	4868	15505.2022595
533	25827	512.080617712
534	10912	2077.5
535	11638	0.0
536	22836	2077.5
