#
# Directed graph - clustering coefficient. G(5242, 14496). Average clustering: 0.5304  OpenTriads: 85079 (0.6379)  ClosedTriads: 48285 (0.3621) (Thu Oct 26 17:46:53 2017)
#
# Node degree	Average clustering coefficient
1	0
2	0.868941
3	0.813144
4	0.690428
5	0.538176
6	0.517037
7	0.504942
8	0.456434
9	0.457071
10	0.339372
11	0.390358
12	0.247365
13	0.346604
14	0.543667
15	0.541865
16	0.321333
17	0.648256
18	0.276066
19	0.332684
20	0.678008
21	0.416071
22	0.256854
23	0.873518
24	0.312047
25	0.301667
26	0.130989
27	0.20133
28	0.321164
29	0.357964
30	0.232471
31	0.664994
32	0.148522
33	0.739478
34	0.964927
35	0.337815
36	0.819841
37	0.608709
38	0.250356
40	0.719231
41	0.902439
42	0.89327
43	0.923034
44	0.208245
45	0.846076
46	0.952174
47	0.915587
48	0.881797
49	0.795493
51	0.787059
53	0.728592
54	0.698812
55	0.700337
56	0.674026
57	0.658521
59	0.464056
60	0.59661
62	0.575357
63	0.533538
65	0.541346
66	0.48951
67	0.498869
68	0.478709
77	0.372693
79	0.346641
81	0.363889
