#
# Directed graph - clustering coefficient. G(5242, 28980). Average clustering: 0.5296  OpenTriads: 85087 (0.6381)  ClosedTriads: 48260 (0.3619) (Thu Oct 26 13:23:47 2017)
#
# Node degree	Average clustering coefficient
2	0
4	0.868043
6	0.811426
8	0.688755
10	0.537838
12	0.517037
14	0.504942
16	0.456434
18	0.455227
20	0.33744
22	0.388215
24	0.244269
26	0.346379
28	0.543667
30	0.541865
32	0.321333
34	0.648256
36	0.271397
38	0.332684
40	0.678008
42	0.416071
44	0.256854
46	0.873518
48	0.312047
50	0.301667
52	0.130989
54	0.20133
56	0.321164
58	0.357964
60	0.232471
62	0.664994
64	0.148522
66	0.739478
68	0.964927
70	0.337815
72	0.819841
74	0.608709
76	0.250356
80	0.719231
82	0.902439
84	0.89327
86	0.923034
88	0.208245
90	0.846076
92	0.952174
94	0.915587
96	0.881797
98	0.795493
102	0.787059
106	0.728592
108	0.698812
110	0.700337
112	0.674026
114	0.658521
118	0.464056
120	0.59661
124	0.575357
126	0.533538
130	0.541346
132	0.48951
134	0.498869
136	0.478709
154	0.372693
158	0.346641
162	0.363889
