#
# Directed graph - clustering coefficient. G(1005, 16706). Average clustering: 0.5390  OpenTriads: 853178 (0.8775)  ClosedTriads: 119087 (0.1225) (Sun Oct 29 16:33:57 2017)
#
# Node degree	Average clustering coefficient
1	0
2	1.63636
3	1.11765
4	0.944444
5	0.733333
6	0.825641
7	0.764706
8	0.730519
9	0.707516
10	0.65641
11	0.665801
12	0.637446
13	0.599145
14	0.586691
15	0.573545
16	0.506061
17	0.532086
18	0.608279
19	0.536473
20	0.585855
21	0.574921
22	0.53154
23	0.546975
24	0.503106
25	0.500222
26	0.596
27	0.583571
28	0.547619
29	0.507969
30	0.476355
31	0.456891
32	0.531682
33	0.486322
34	0.504991
35	0.470588
36	0.467277
37	0.496059
38	0.407302
39	0.441296
40	0.422949
41	0.449652
42	0.442638
43	0.356747
44	0.422078
45	0.405693
46	0.41256
47	0.449699
48	0.412766
49	0.45017
50	0.424082
51	0.386797
52	0.443607
53	0.413159
54	0.407607
55	0.329774
56	0.418398
57	0.39505
58	0.364791
59	0.401227
60	0.409463
61	0.342259
62	0.377895
63	0.33999
64	0.355655
65	0.40625
66	0.386713
67	0.35248
68	0.31036
69	0.362916
70	0.343437
71	0.336117
72	0.387324
73	0.318557
74	0.328397
75	0.27976
76	0.308772
78	0.246587
79	0.313102
80	0.282595
81	0.381173
82	0.318217
83	0.354197
84	0.311054
85	0.295378
86	0.282695
87	0.398824
88	0.338297
90	0.244444
91	0.289052
92	0.252747
94	0.322352
95	0.342217
96	0.0817982
97	0.323668
98	0.294761
100	0.255657
102	0.3576
104	0.365945
105	0.255495
106	0.281402
107	0.256569
109	0.220693
110	0.305254
112	0.329151
114	0.178233
115	0.20122
118	0.316094
119	0.220197
120	0.321499
121	0.292975
123	0.287085
124	0.311566
125	0.312516
128	0.314345
129	0.256298
130	0.216577
131	0.154198
133	0.248576
134	0.27337
137	0.257675
138	0.210903
140	0.265108
141	0.28129
145	0.277299
153	0.233488
157	0.149518
163	0.234871
167	0.268595
169	0.147365
170	0.122798
172	0.217122
176	0.188377
179	0.12573
184	0.214303
215	0.163747
217	0.132488
220	0.181403
232	0.176705
233	0.183513
346	0.101114
