#
# Directed graph - out-degree Distribution. G(1005, 16706). 348 (0.3463) nodes with out-deg > avg deg (33.2), 135 (0.1343) with >2*avg.deg (Sun Oct 29 16:33:57 2017)
#
# Out-degree	Count
1	97
2	44
3	34
4	33
5	27
6	26
7	17
8	22
9	17
10	13
11	21
12	14
13	15
14	18
15	9
16	11
17	11
18	15
19	19
20	16
21	15
22	14
23	13
24	21
25	15
26	10
27	12
28	20
29	17
30	14
31	11
32	7
33	9
34	10
35	8
36	13
37	8
38	6
39	7
40	10
41	7
42	9
43	7
44	7
45	11
46	7
47	8
48	5
49	5
50	10
51	6
52	9
53	6
54	7
55	7
56	3
57	4
58	3
59	4
60	4
61	6
62	5
63	5
64	3
65	1
66	2
67	3
68	1
69	5
70	5
71	4
72	4
73	6
74	2
75	3
76	1
78	2
79	3
80	2
81	1
82	5
83	6
84	3
85	2
86	4
87	1
88	1
90	3
91	3
92	1
94	1
95	1
96	1
97	2
98	1
100	2
102	1
104	1
105	3
106	1
107	1
109	1
110	1
112	1
114	1
115	1
118	2
119	1
120	2
121	1
123	1
124	1
125	1
128	1
129	1
130	2
131	1
133	1
134	1
137	2
138	3
140	2
141	3
145	2
153	1
157	1
163	1
167	1
169	1
170	1
172	1
176	1
179	1
184	1
215	1
217	1
220	1
232	1
233	1
346	1
