#
# Directed graph - clustering coefficient. G(7050, 100639). Average clustering: 0.1420  OpenTriads: 12711791 (0.9543)  ClosedTriads: 608324 (0.0457) (Sun Oct 29 16:41:15 2017)
#
# Node degree	Average clustering coefficient
1	0
2	0.290424
3	0.234632
4	0.200137
5	0.222156
6	0.226582
7	0.190476
8	0.21588
9	0.210917
10	0.232121
11	0.206417
12	0.197134
13	0.210256
14	0.217891
15	0.227915
16	0.200157
17	0.208385
18	0.219421
19	0.198476
20	0.177632
21	0.215725
22	0.213071
23	0.184014
24	0.20595
25	0.192051
26	0.195951
27	0.229207
28	0.199381
29	0.185728
30	0.190374
31	0.20308
32	0.209402
33	0.218022
34	0.189476
35	0.182132
36	0.178355
37	0.205602
38	0.223385
39	0.192067
40	0.190103
41	0.185148
42	0.191995
43	0.209487
44	0.197357
45	0.207698
46	0.185173
47	0.187789
48	0.177338
49	0.181446
50	0.186939
51	0.197531
52	0.1756
53	0.188295
54	0.16499
55	0.184989
56	0.18136
57	0.174272
58	0.198524
59	0.196888
60	0.178773
61	0.187045
62	0.190375
63	0.176728
64	0.192007
65	0.185978
66	0.204002
67	0.188685
68	0.188762
69	0.199689
70	0.178074
71	0.179678
72	0.198077
73	0.20633
74	0.199148
75	0.167833
76	0.167684
77	0.159814
78	0.169904
79	0.165769
80	0.155322
81	0.175947
82	0.156519
83	0.19593
84	0.171328
85	0.181665
86	0.187059
87	0.169699
88	0.192902
89	0.161645
90	0.16764
91	0.190018
92	0.172506
93	0.165859
94	0.144284
95	0.140985
96	0.14739
97	0.158226
98	0.181254
99	0.147856
100	0.178092
101	0.16599
102	0.142755
103	0.159376
104	0.178748
105	0.19009
106	0.153549
107	0.167276
108	0.187175
109	0.175671
110	0.191755
111	0.169042
112	0.172065
113	0.15708
114	0.160638
115	0.161641
116	0.181709
117	0.171706
118	0.159737
119	0.169492
120	0.170028
121	0.14961
122	0.146491
123	0.159441
124	0.192537
125	0.154032
126	0.157587
128	0.194472
129	0.184997
130	0.166702
131	0.182795
132	0.147756
133	0.17954
134	0.178768
135	0.17529
136	0.188344
138	0.160944
139	0.157804
140	0.225848
141	0.149823
142	0.144341
143	0.166281
144	0.160354
145	0.190182
146	0.151554
147	0.150112
148	0.13728
149	0.109106
150	0.128031
152	0.156501
153	0.184899
154	0.175728
155	0.15442
156	0.144224
157	0.134134
158	0.0987664
159	0.177597
160	0.152103
162	0.168277
163	0.172991
164	0.149284
166	0.0771815
167	0.120338
168	0.124988
169	0.130318
170	0.157953
171	0.151496
172	0.146267
173	0.161715
175	0.12913
176	0.126558
177	0.145962
178	0.107726
179	0.127017
180	0.146431
181	0.144045
182	0.159857
184	0.116833
185	0.118331
186	0.146973
187	0.0782014
188	0.147059
189	0.119554
190	0.134911
191	0.159732
192	0.126582
193	0.124442
194	0.12904
195	0.103551
197	0.122518
199	0.0960865
200	0.0977387
202	0.125889
203	0.167097
204	0.123893
205	0.138427
206	0.126545
207	0.180573
208	0.123653
210	0.121805
211	0.170278
212	0.124318
213	0.134024
214	0.12404
216	0.146878
217	0.102215
218	0.0893967
219	0.125843
221	0.142842
222	0.154906
223	0.186482
224	0.138506
226	0.165349
227	0.129053
228	0.127869
229	0.161917
230	0.109132
231	0.100546
232	0.131885
233	0.126757
234	0.116907
238	0.149257
239	0.184558
243	0.107336
244	0.140154
245	0.123051
246	0.154272
247	0.122083
248	0.129
249	0.174958
250	0.152707
251	0.104319
253	0.102924
254	0.131866
255	0.130245
256	0.117586
257	0.129423
258	0.154767
260	0.14749
263	0.123424
264	0.147799
265	0.109034
266	0.132217
268	0.0940802
269	0.107252
271	0.103048
274	0.101976
275	0.0936607
276	0.0784717
281	0.124199
287	0.14159
288	0.132646
291	0.101149
292	0.113873
297	0.0661571
298	0.121928
302	0.116279
303	0.0879942
305	0.0797239
309	0.0861493
311	0.1142
314	0.0915393
318	0.124616
321	0.0949961
328	0.121
331	0.094864
332	0.0910166
334	0.0699502
346	0.106141
352	0.11341
353	0.118674
356	0.0937332
361	0.0970683
362	0.0799957
365	0.0807617
368	0.117285
372	0.118569
378	0.0760108
384	0.0923629
387	0.105916
395	0.0717471
399	0.0908343
403	0.0598373
406	0.0908837
410	0.100722
414	0.120399
425	0.0989678
435	0.101923
446	0.0789238
467	0.0452712
477	0.11341
495	0.0997833
517	0.0761699
533	0.0680571
618	0.0745858
688	0.0734615
732	0.0496849
740	0.0804703
743	0.0486155
773	0.0610099
1065	0.0546084
