#
# Directed graph - k-core nodes. G(7050, 100639). (Sun Oct 29 16:41:39 2017)
#
# k-Core	Number of nodes in the k-Core
0	7050
1	7050
2	4774
3	4144
4	3756
5	3508
6	3335
7	3177
8	3026
9	2908
10	2823
11	2708
12	2602
13	2519
14	2452
15	2382
16	2316
17	2262
18	2210
19	2144
20	2098
21	2060
22	2005
23	1970
24	1925
25	1872
26	1824
27	1775
28	1748
29	1703
30	1655
31	1606
32	1560
33	1516
34	1450
35	1413
36	1365
37	1319
38	1280
39	1219
40	1179
41	1102
42	1055
43	1021
44	999
45	956
46	906
47	846
48	769
49	724
50	585
51	534
52	480
53	336
