#
# Directed graph - in-degree Distribution. G(7050, 100639). 1869 (0.2651) nodes with in-deg > avg deg (28.6), 1112 (0.1577) with >2*avg.deg (Sun Oct 29 16:41:15 2017)
#
# In-degree	Count
1	2262
2	637
3	385
4	244
5	167
6	158
7	138
8	112
9	86
10	110
11	85
12	92
13	65
14	64
15	58
16	53
17	47
18	56
19	33
20	44
21	43
22	41
23	27
24	38
25	26
26	38
27	31
28	41
29	37
30	32
31	37
32	22
33	26
34	27
35	19
36	22
37	29
38	25
39	28
40	25
41	28
42	26
43	24
44	30
45	29
46	26
47	30
48	27
49	21
50	27
51	27
52	26
53	17
54	20
55	24
56	17
57	29
58	25
59	16
60	21
61	24
62	13
63	20
64	23
65	12
66	24
67	22
68	9
69	17
70	21
71	14
72	21
73	17
74	10
75	19
76	10
77	13
78	9
79	15
80	11
81	15
82	5
83	8
84	12
85	11
86	10
87	19
88	7
89	16
90	5
91	8
92	9
93	11
94	6
95	6
96	10
97	10
98	10
99	8
100	9
101	8
102	3
103	10
104	8
105	9
106	4
107	8
108	4
109	9
110	7
111	6
112	9
113	5
114	12
115	9
116	8
117	5
118	9
119	8
120	3
121	6
122	4
123	7
124	7
125	4
126	12
128	3
129	3
130	5
131	2
132	2
133	5
134	3
135	2
136	3
138	5
139	6
140	2
141	4
142	3
143	4
144	8
145	2
146	5
147	7
148	3
149	3
150	4
152	3
153	1
154	4
155	1
156	3
157	5
158	2
159	5
160	4
162	4
163	4
164	3
166	1
167	2
168	3
169	2
170	1
171	2
172	3
173	2
175	3
176	1
177	2
178	2
179	4
180	1
181	4
182	1
184	1
185	1
186	3
187	2
188	1
189	2
190	3
191	3
192	2
193	3
194	4
195	3
197	3
199	1
200	1
202	3
203	1
204	3
205	4
206	1
207	1
208	2
210	2
211	2
212	4
213	1
214	2
216	2
217	2
218	2
219	1
221	2
222	1
223	1
224	3
226	2
227	3
228	2
229	1
230	2
231	1
232	1
233	2
234	1
238	2
239	1
243	1
244	2
245	1
246	1
247	1
248	2
249	1
250	1
251	1
253	1
254	1
255	1
256	1
257	2
258	1
260	1
263	3
264	1
265	1
266	2
268	2
269	1
271	1
274	2
275	3
276	1
281	1
287	1
288	1
291	2
292	1
297	1
298	3
302	1
303	1
305	1
309	2
311	2
314	3
318	1
321	1
328	1
331	1
332	1
334	1
346	1
352	1
353	1
356	1
361	2
362	1
365	1
368	1
372	1
378	1
384	1
387	1
395	1
399	3
403	1
406	1
410	2
414	1
425	1
435	1
446	1
467	1
477	1
495	1
517	1
533	1
618	1
688	1
732	1
740	1
743	1
773	1
1065	1
