Id,Label,timeset,indegree,outdegree,Degree
0,0,,0,31,31
1,1,,0,33,33
2,2,,0,23,23
3,3,,0,31,31
4,4,,0,20,20
5,5,,0,23,23
6,6,,0,26,26
7,7,,0,33,33
8,8,,0,25,25
9,9,,0,31,31
10,10,,0,36,36
11,11,,0,21,21
12,12,,0,27,27
13,13,,0,29,29
14,14,,0,36,36
15,15,,0,22,22
16,16,,0,37,37
17,17,,0,25,25
18,18,,0,37,37
19,19,,0,23,23
20,20,,0,33,33
21,21,,0,21,21
22,22,,0,23,23
23,23,,0,21,21
24,24,,0,25,25
25,25,,0,32,32
26,26,,0,34,34
27,27,,0,28,28
28,28,,0,31,31
29,29,,0,27,27
30,30,,1,17,18
31,31,,0,26,26
32,32,,0,27,27
33,33,,0,34,34
34,34,,0,34,34
35,35,,1,30,31
36,36,,1,24,25
37,37,,0,23,23
38,38,,0,40,40
39,39,,0,32,32
40,40,,0,24,24
41,41,,1,27,28
42,42,,0,27,27
43,43,,0,24,24
44,44,,0,35,35
45,45,,0,30,30
46,46,,0,39,39
47,47,,0,25,25
48,48,,0,22,22
49,49,,0,34,34
50,50,,0,29,29
51,51,,0,22,22
52,52,,0,40,40
53,53,,0,27,27
54,54,,0,23,23
55,55,,0,32,32
56,56,,0,14,14
57,57,,0,27,27
58,58,,0,27,27
59,59,,1,27,28
60,60,,1,23,24
61,61,,0,30,30
62,62,,0,30,30
63,63,,0,37,37
64,64,,3,28,31
65,65,,1,21,22
66,66,,0,29,29
67,67,,0,24,24
68,68,,0,28,28
69,69,,0,28,28
70,70,,0,34,34
71,71,,0,26,26
72,72,,1,31,32
73,73,,0,23,23
74,74,,0,32,32
75,75,,0,30,30
76,76,,1,30,31
77,77,,0,36,36
78,78,,0,29,29
79,79,,1,29,30
80,80,,0,23,23
81,81,,0,35,35
82,82,,2,27,29
83,83,,0,31,31
84,84,,0,27,27
85,85,,0,25,25
86,86,,0,33,33
87,87,,0,35,35
88,88,,0,28,28
89,89,,0,25,25
90,90,,0,36,36
91,91,,0,34,34
92,92,,0,26,26
93,93,,0,29,29
94,94,,0,30,30
95,95,,1,29,30
96,96,,0,26,26
97,97,,1,33,34
98,98,,0,30,30
99,99,,0,32,32
100,100,,0,28,28
101,101,,0,28,28
102,102,,0,33,33
103,103,,0,27,27
104,104,,1,29,30
105,105,,1,23,24
106,106,,0,32,32
107,107,,0,29,29
108,108,,0,29,29
109,109,,0,40,40
110,110,,1,28,29
111,111,,0,39,39
112,112,,0,32,32
113,113,,0,36,36
114,114,,0,16,16
115,115,,0,30,30
116,116,,2,26,28
117,117,,0,22,22
118,118,,0,30,30
119,119,,0,34,34
120,120,,1,22,23
121,121,,1,20,21
122,122,,0,30,30
123,123,,0,38,38
124,124,,1,29,30
125,125,,0,36,36
126,126,,0,30,30
127,127,,1,22,23
128,128,,0,26,26
129,129,,2,29,31
130,130,,0,37,37
131,131,,1,28,29
132,132,,1,34,35
133,133,,1,26,27
134,134,,0,28,28
135,135,,1,32,33
136,136,,0,37,37
137,137,,0,33,33
138,138,,1,41,42
139,139,,1,38,39
140,140,,1,31,32
141,141,,0,24,24
142,142,,1,33,34
143,143,,0,17,17
144,144,,1,18,19
145,145,,1,18,19
146,146,,0,33,33
147,147,,0,30,30
148,148,,0,20,20
149,149,,0,15,15
150,150,,1,32,33
151,151,,1,26,27
152,152,,1,23,24
153,153,,1,20,21
154,154,,0,27,27
155,155,,0,36,36
156,156,,1,23,24
157,157,,2,41,43
158,158,,2,39,41
159,159,,1,28,29
160,160,,1,27,28
161,161,,0,27,27
162,162,,1,38,39
163,163,,1,26,27
164,164,,1,27,28
165,165,,0,22,22
166,166,,0,31,31
167,167,,2,30,32
168,168,,1,30,31
169,169,,0,34,34
170,170,,0,33,33
171,171,,1,24,25
172,172,,2,28,30
173,173,,1,24,25
174,174,,0,25,25
175,175,,2,31,33
176,176,,1,33,34
177,177,,0,24,24
178,178,,0,28,28
179,179,,0,26,26
180,180,,2,30,32
181,181,,0,22,22
182,182,,0,32,32
183,183,,0,36,36
184,184,,0,40,40
185,185,,0,25,25
186,186,,1,35,36
187,187,,1,26,27
188,188,,0,29,29
189,189,,2,31,33
190,190,,1,41,42
191,191,,0,24,24
192,192,,0,29,29
193,193,,1,36,37
194,194,,0,34,34
195,195,,0,24,24
196,196,,1,31,32
197,197,,0,39,39
198,198,,0,31,31
199,199,,1,38,39
200,200,,1,27,28
201,201,,1,26,27
202,202,,1,29,30
203,203,,0,31,31
204,204,,2,23,25
205,205,,2,35,37
206,206,,0,30,30
207,207,,1,21,22
208,208,,1,30,31
209,209,,0,29,29
