	node	centrality
0	0	7271.8975813
1	1	7015.93416608
2	2	7219.95210101
3	3	11923.5881676
4	4	8362.47122926
5	5	3553.1116695
6	6	6954.29270335
7	7	8286.92456019
8	8	6272.45256679
9	9	8183.06233607
10	10	4613.55890215
11	11	3982.93589108
12	12	8725.32044641
13	13	8311.49902858
14	14	8001.96496569
15	15	5373.87749422
16	16	10014.6742315
17	17	4723.09224158
18	18	5577.47968318
19	19	4317.55863681
20	20	5364.16404947
21	21	11865.5778611
22	22	5287.20678598
23	23	3871.071704
24	24	7652.24294586
25	25	10493.4273006
26	26	3978.97421364
27	27	6912.97552039
28	28	8546.25220999
29	29	9888.47141166
30	30	13076.3752732
31	31	10894.8994342
32	32	6576.70834372
33	33	9228.47620138
34	34	7473.90499563
35	35	3923.47788672
36	36	2649.8275735
37	37	7916.79427876
38	38	10300.979426
39	39	12021.4970203
40	40	8242.82379234
41	41	6994.14223505
42	42	7341.82133649
43	43	4681.10695217
44	44	6617.36150492
45	45	5167.70477968
46	46	8605.34597888
47	47	5412.35204721
48	48	5104.15745206
49	49	9171.88997659
50	50	3872.52119352
51	51	4925.26839878
52	52	5902.28085998
53	53	5048.47406778
54	54	3178.23699971
55	55	10029.7817547
56	56	5377.30196316
57	57	9896.64494722
58	58	5731.63524482
59	59	9003.31981153
60	60	6996.74551971
61	61	11615.5556819
62	62	5154.41164979
63	63	5448.60187594
64	64	8185.83465161
65	65	10356.5742897
66	66	3174.8661911
67	67	4366.7121247
68	68	4601.12958724
69	69	4819.34589936
70	70	3403.52232455
71	71	7440.11736622
72	72	5799.43585285
73	73	8075.33376757
74	74	7785.27396416
75	75	5488.66393193
76	76	8531.86913828
77	77	8176.86641475
78	78	6069.11127409
79	79	6147.95392278
80	80	4494.66781563
81	81	5563.25520911
82	82	10208.4738065
83	83	5309.89656953
84	84	4761.00595106
85	85	8882.53978656
86	86	10195.6952025
87	87	9603.32416773
88	88	6152.01277349
89	89	5881.27437745
90	90	7550.74275875
91	91	8461.01374622
92	92	3596.22889055
93	93	3276.47521137
94	94	6436.56196025
95	95	3581.46262361
96	96	8809.5708605
97	97	3324.56206291
98	98	7344.86718977
99	99	7660.82171867
100	100	8202.54530409
101	101	7233.17408492
102	102	8593.01339284
103	103	3572.54156885
104	104	4496.2088285
105	105	8073.95943847
106	106	5412.26788236
107	107	4572.79165425
108	108	8914.49946805
109	109	5718.11098611
110	110	3981.04877483
111	111	13922.6201839
112	112	7379.12748193
