#
# Directed graph - clustering coefficient. G(7115, 103406). Average clustering: 0.0040  OpenTriads: 2993134 (0.9987)  ClosedTriads: 3997 (0.0013) (Sun Oct 29 16:38:56 2017)
#
# Node degree	Average clustering coefficient
12	0
13	0.00320513
14	0
15	0.0025974
16	0.00591398
17	0.00320513
18	0.00501089
19	0.00267129
20	0.00432331
21	0.00447504
22	0.00440917
23	0.0043063
24	0.00396172
25	0.00382075
26	0.00408924
27	0.00408054
28	0.00408583
29	0.00381391
30	0.00409814
31	0.00371326
32	0.00403707
33	0.00376707
34	0.00372328
35	0.00418089
36	0.00425277
37	0.00399522
38	0.00391682
39	0.00370077
40	0.00409868
41	0.00406504
42	0.00448881
43	0.00456811
44	0.00479753
45	0.00328283
46	0.00458937
47	0.00277521
48	0.00265957
49	0.00467687
51	0.00313725
