#
# Directed graph - clustering coefficient. G(5242, 15726). Average clustering: 0.0105  OpenTriads: 270144 (0.9981)  ClosedTriads: 521 (0.0019) (Sun Oct 29 17:10:21 2017)
#
# Node degree	Average clustering coefficient
3	0.0125756
4	0.0116387
5	0.00957096
6	0.00838095
7	0.00764037
8	0.00777454
9	0.00518242
10	0.00805861
11	0.00651289
12	0.00616333
13	0.00543242
14	0.00721154
15	0.00634921
16	0.00402299
17	0.00432526
18	0.0070028
19	0.00740741
20	0.00368421
21	0.0047619
22	0.00865801
23	0.00441758
24	0.00592885
25	0.00583333
26	0.00175824
27	0.00691901
28	0.00330688
29	0.00246305
30	0.00413793
31	0.00250896
32	0.00443548
33	0.00284091
34	0.00713012
35	0.00560224
36	0.0103175
37	0.00600601
38	0.00426743
40	0.0034188
41	0.00304878
44	0.00951374
45	0.00505051
48	0.000886525
50	0.00163265
54	0.00419287
57	0.0018797
61	0.00564663
66	0.00559441
67	0.00407056
72	0.00625978
73	0.00399543
80	0.00759494
85	0.00308123
88	0.00992685
91	0.00610501
98	0.00820534
102	0.0015531
107	0.00758244
116	0.00824588
118	0.00796755
122	0.00433546
146	0.00387341
162	0.00352734
184	0.00386077
226	0.00578171
