#
# Directed graph - in-degree Distribution. G(5242, 15726). 1118 (0.2133) nodes with in-deg > avg deg (6.0), 352 (0.0671) with >2*avg.deg (Sun Oct 29 17:10:21 2017)
#
# In-degree	Count
3	2094
4	1074
5	606
6	350
7	268
8	147
9	134
10	91
11	67
12	59
13	59
14	32
15	24
16	29
17	17
18	14
19	15
20	10
21	15
22	9
23	17
24	11
25	8
26	7
27	7
28	4
29	8
30	5
31	6
32	5
33	4
34	2
35	3
36	2
37	1
38	3
40	3
41	2
44	1
45	1
48	1
50	1
54	2
57	1
61	3
66	1
67	1
72	1
73	2
80	1
85	1
88	1
91	1
98	1
102	1
107	1
116	1
118	1
122	1
146	2
162	1
184	1
226	1
