#
# Directed graph - clustering coefficient. G(7050, 103565). Average clustering: 0.1420  OpenTriads: 12711791 (0.9543)  ClosedTriads: 608324 (0.0457) (Thu Oct 26 17:50:36 2017)
#
# Node degree	Average clustering coefficient
1	0
2	0.290424
3	0.234632
4	0.200137
5	0.222156
6	0.227176
7	0.190065
8	0.21588
9	0.210917
10	0.232121
11	0.205411
12	0.198687
13	0.208051
14	0.218735
15	0.228912
16	0.201923
17	0.202149
18	0.215096
19	0.204674
20	0.183075
21	0.2088
22	0.208248
23	0.198359
24	0.201107
25	0.199825
26	0.19911
27	0.220085
28	0.197383
29	0.190642
30	0.186891
31	0.198073
32	0.221698
33	0.210304
34	0.191286
35	0.187661
36	0.186274
37	0.191705
38	0.208031
39	0.198911
40	0.198586
41	0.194061
42	0.191843
43	0.202993
44	0.182831
45	0.213741
46	0.186767
47	0.196872
48	0.177655
49	0.187983
50	0.181842
51	0.187554
52	0.177737
53	0.194964
54	0.165129
55	0.19805
56	0.177515
57	0.179901
58	0.199752
59	0.189299
60	0.182604
61	0.185712
62	0.190997
63	0.177558
64	0.174633
65	0.168111
66	0.190556
67	0.189111
68	0.211868
69	0.190394
70	0.180609
71	0.186501
72	0.197423
73	0.203005
74	0.18057
75	0.186069
76	0.189704
77	0.177386
78	0.188465
79	0.160599
80	0.172901
81	0.167416
82	0.184359
83	0.185732
84	0.155118
85	0.14011
86	0.145662
87	0.189831
88	0.182295
89	0.164529
90	0.184962
91	0.204637
92	0.177939
93	0.166457
94	0.155021
95	0.165258
96	0.151049
97	0.177261
98	0.136531
99	0.136327
100	0.149906
101	0.16406
102	0.18641
103	0.158832
104	0.157208
105	0.200529
106	0.136795
107	0.165942
108	0.19105
109	0.171783
110	0.17479
111	0.157801
112	0.181509
113	0.141435
114	0.168788
115	0.16763
116	0.161313
117	0.171284
118	0.141078
119	0.159967
120	0.192703
121	0.162637
122	0.183547
123	0.137504
124	0.172795
125	0.184346
126	0.179453
127	0.152362
128	0.184881
129	0.160915
130	0.167632
131	0.187796
132	0.149079
134	0.172478
135	0.201162
136	0.176744
137	0.17192
138	0.151372
139	0.173167
140	0.186046
141	0.146646
142	0.158636
143	0.191991
144	0.145194
145	0.173737
146	0.15322
147	0.119593
148	0.155706
149	0.124276
150	0.144021
151	0.149132
152	0.156942
153	0.154042
154	0.20012
156	0.186768
157	0.144351
158	0.0987664
159	0.157064
160	0.135736
161	0.174801
162	0.147925
163	0.123214
164	0.11821
165	0.156325
166	0.147015
168	0.171541
169	0.164613
170	0.181905
171	0.187591
172	0.196855
173	0.144532
174	0.141937
175	0.114621
176	0.197467
177	0.165037
178	0.133127
181	0.0877225
182	0.189211
183	0.15558
184	0.181176
185	0.128104
186	0.12212
187	0.102172
188	0.144853
189	0.132887
190	0.119967
191	0.126213
192	0.131166
193	0.106284
195	0.133139
197	0.162308
199	0.105267
200	0.143841
202	0.147059
203	0.175884
204	0.093258
205	0.187379
207	0.14011
208	0.130771
209	0.151456
210	0.0849712
211	0.130911
212	0.13347
213	0.144311
214	0.0843754
215	0.134466
216	0.108786
217	0.103769
218	0.0883609
219	0.131055
221	0.106545
223	0.133273
224	0.146511
225	0.163705
226	0.141427
227	0.0911465
228	0.140815
230	0.124151
231	0.136681
233	0.154906
238	0.172437
240	0.122492
241	0.119666
242	0.199712
243	0.119611
244	0.130587
245	0.176716
248	0.129104
250	0.163929
253	0.141298
254	0.142619
255	0.119947
257	0.0885214
260	0.104319
261	0.102924
266	0.0871912
267	0.12309
270	0.154272
271	0.152602
273	0.0893566
274	0.117586
275	0.132027
276	0.0988037
277	0.107252
279	0.108299
280	0.132985
281	0.150099
282	0.143123
283	0.10306
284	0.139959
286	0.103048
288	0.170325
291	0.0983676
292	0.125329
293	0.103119
297	0.0661571
298	0.085176
300	0.124199
301	0.132646
305	0.0797239
309	0.0911001
314	0.105239
317	0.117123
318	0.116037
319	0.14159
320	0.0972306
322	0.0798611
331	0.094864
334	0.0987051
338	0.116461
352	0.121
354	0.0910166
361	0.104428
362	0.0799957
363	0.0937332
368	0.106141
375	0.109895
384	0.0807617
385	0.11341
386	0.117285
398	0.0760108
399	0.0703518
402	0.0923629
403	0.0717471
409	0.118569
411	0.0598373
419	0.118674
422	0.105916
426	0.0887352
428	0.0908837
431	0.0995076
436	0.102644
444	0.112708
463	0.0789238
464	0.120399
472	0.0452712
481	0.0989678
484	0.101923
537	0.11341
538	0.0997833
543	0.0761699
551	0.0680571
618	0.0745858
732	0.0496849
743	0.0610385
773	0.0610099
832	0.0804703
1167	0.0546084
