#
# Directed graph - k-core nodes. G(7050, 103565). (Thu Oct 26 14:32:22 2017)
#
# k-Core	Number of nodes in the k-Core
0	7050
1	7050
2	4774
3	4144
4	3756
5	3508
6	3335
7	3178
8	3026
9	2908
10	2823
11	2709
12	2603
13	2528
14	2452
15	2383
16	2319
17	2268
18	2214
19	2146
20	2099
21	2065
22	2011
23	1979
24	1926
25	1876
26	1830
27	1780
28	1754
29	1708
30	1673
31	1625
32	1584
33	1534
34	1482
35	1433
36	1377
37	1337
38	1305
39	1250
40	1217
41	1155
42	1084
43	1044
44	1025
45	977
46	953
47	891
48	825
49	787
50	727
51	652
52	598
53	527
54	484
55	440
56	313
