#
# Directed graph - in-degree Distribution. G(7050, 103565). 1319 (0.1871) nodes with in-deg > avg deg (29.4), 616 (0.0874) with >2*avg.deg (Sat Oct 28 14:22:01 2017)
#
# In-degree	Count
0	4669
1	78
2	45
3	51
4	40
5	56
6	41
7	44
8	39
9	37
10	45
11	44
12	44
13	44
14	34
15	34
16	24
17	35
18	36
19	19
20	28
21	29
22	37
23	19
24	30
25	22
26	26
27	22
28	29
29	30
30	26
31	28
32	18
33	27
34	34
35	21
36	11
37	22
38	30
39	27
40	24
41	23
42	21
43	29
44	19
45	22
46	28
47	34
48	29
49	23
50	25
51	25
52	19
53	26
54	26
55	19
56	16
57	30
58	21
59	17
60	24
61	22
62	12
63	19
64	23
65	20
66	12
67	14
68	8
69	13
70	8
71	15
72	13
73	12
74	19
75	10
76	6
77	14
78	9
79	11
80	6
81	14
82	14
83	8
84	5
85	8
86	3
87	6
88	11
89	7
90	11
91	2
92	4
93	8
94	6
95	6
96	1
97	8
99	5
100	6
101	10
102	1
103	1
104	7
105	7
106	2
107	5
108	3
109	3
110	5
111	2
112	1
113	3
114	1
115	4
116	3
117	6
118	3
121	1
122	3
123	1
124	2
126	2
127	2
128	3
129	1
130	2
131	2
132	1
133	2
134	3
135	3
136	2
137	1
139	1
140	2
141	2
144	2
145	3
146	1
147	1
148	1
149	4
151	1
153	2
154	1
155	1
158	2
160	1
162	4
164	2
165	2
167	1
170	1
173	1
175	2
178	1
181	3
185	1
186	2
188	1
189	1
191	1
192	2
193	2
195	2
196	1
197	1
208	1
213	1
217	1
219	1
223	1
228	1
231	1
232	1
244	1
245	1
254	1
259	1
264	1
265	1
266	1
272	1
274	1
309	1
331	1
340	1
361	1
457	1
