	node	centrality
0	0	8889.76034001
1	1	5787.35608898
2	2	7033.24969935
3	3	11257.3735077
4	4	8491.97913305
5	5	4553.35311048
6	6	6162.5294486
7	7	7482.72288276
8	8	6472.22086466
9	9	6794.89988823
10	10	5541.93608312
11	11	4482.04955642
12	12	10457.6522356
13	13	9500.31777283
14	14	8340.53807613
15	15	6542.4376306
16	16	9405.23294049
17	17	3123.64720316
18	18	4818.71971592
19	19	6085.6828677
20	20	5217.47427273
21	21	10566.1728504
22	22	6530.52492733
23	23	3137.25945071
24	24	11266.7141067
25	25	6849.05697062
26	26	3452.06217284
27	27	10640.6046014
28	28	6558.7544052
29	29	11603.3308356
30	30	12993.0141236
31	31	11606.5014667
32	32	4046.25255678
33	33	8960.71868707
34	34	6808.13393265
35	35	6018.27268728
36	36	3359.48931548
37	37	7437.90097226
38	38	10925.0891839
39	39	10066.9609919
40	40	7997.62287604
41	41	8690.19303055
42	42	3042.6570619
43	43	8232.36006027
44	44	6159.63690478
45	45	3346.55336103
46	46	8571.37385521
47	47	4793.83234093
48	48	9024.87172824
49	49	5844.44876605
50	50	5807.68625821
51	51	6105.30329324
52	52	4978.66839219
53	53	3913.41146351
54	54	5962.72751541
55	55	9061.90927847
56	56	7635.22909167
57	57	4478.50819129
58	58	9348.63400417
59	59	6930.43051997
60	60	9552.27908622
61	61	6385.4209628
62	62	5745.35007291
63	63	6094.07486545
64	64	11534.1555698
65	65	5001.11604123
66	66	4569.17248788
67	67	3579.47768996
68	68	3833.31544156
69	69	6261.44592808
70	70	7098.10002022
71	71	5681.35103898
72	72	7152.44164668
73	73	5523.60282136
74	74	11469.569062
75	75	6524.9396622
76	76	8463.74616848
77	77	5488.17138262
78	78	6318.39279774
79	79	5977.33736623
80	80	4383.5927308
81	81	6959.3521973
82	82	7057.78944797
83	83	5303.42107453
84	84	9679.89521427
85	85	6078.80942748
86	86	9645.51719896
87	87	9547.2933839
88	88	8450.85962038
89	89	5279.74294456
90	90	10540.6379424
91	91	2751.36652946
92	92	3309.75847113
93	93	4450.10266814
94	94	3721.66453394
95	95	7457.90453521
96	96	4432.74699423
97	97	5714.81452061
98	98	8526.13972692
99	99	8211.25741284
100	100	6891.4939262
101	101	6986.06920512
102	102	5069.33826351
103	103	5265.34543652
104	104	7192.64276012
105	105	5715.39674266
106	106	4861.0062841
107	107	8727.0912039
108	108	6602.22453651
109	109	4937.96267892
110	110	12752.1827562
111	111	7586.38711356
112	112	7557.30671414
113	113	2866.4590103
114	114	2982.79911437
115	115	6158.13173126
116	116	6123.18660927
117	117	5833.80170761
118	118	10228.8402343
119	119	8301.16602345
120	120	4247.63497123
121	121	10499.3431376
122	122	7334.49135189
123	123	5277.3548811
124	124	6518.31522235
125	125	5285.21572796
126	126	10781.0737655
127	127	6343.27920139
128	128	12378.8881922
129	129	5037.13242208
130	130	9303.63973482
131	131	6648.8512464
132	132	6722.78266415
133	133	3758.2610344
134	134	3338.09396758
135	135	4005.02630318
136	136	10896.802426
137	137	5783.57851318
138	138	4005.52993012
139	139	10967.8724996
140	140	4834.9247919
141	141	9066.32719528
142	142	5348.55666357
143	143	9590.20196087
144	144	5949.86948287
145	145	4169.82065215
146	146	12573.4094684
147	147	4594.32245309
148	148	5303.58784094
149	149	6725.24205466
150	150	7925.20736582
151	151	9393.66259588
152	152	4143.54055189
153	153	6981.65282472
154	154	8092.44173936
155	155	5948.02390634
156	156	5663.35968502
157	157	4944.66175555
158	158	5199.96531058
159	159	14070.608062
