#
# Directed graph - clustering coefficient. G(7051, 100326). Average clustering: 0.0040  OpenTriads: 2843517 (0.9986)  ClosedTriads: 3846 (0.0014) (Sun Oct 29 17:13:47 2017)
#
# Node degree	Average clustering coefficient
11	0
12	0
13	0.0128205
14	0.00549451
15	0.0031746
16	0.00416667
17	0.00359825
18	0.00242463
19	0.00336533
20	0.00444293
21	0.00405469
22	0.00391453
23	0.00383833
24	0.00412745
25	0.00419726
26	0.00407627
27	0.00401654
28	0.00385866
29	0.00400478
30	0.00408212
31	0.00406579
32	0.00412093
33	0.00420348
34	0.00391531
35	0.00417957
36	0.00406186
37	0.00412913
38	0.00387161
39	0.00438234
40	0.00421598
41	0.00412558
42	0.00380108
43	0.00302024
44	0.00317125
45	0.0027417
46	0.00502415
47	0.00370028
48	0.00243794
