#
# Directed graph - clustering coefficient. G(5242, 15726). Average clustering: 0.0097  OpenTriads: 274459 (0.9982)  ClosedTriads: 495 (0.0018) (Sun Oct 29 09:52:12 2017)
#
# Node degree	Average clustering coefficient
3	0.0120948
4	0.011894
5	0.00743134
6	0.00493827
7	0.00764256
8	0.00935374
9	0.00572519
10	0.0041868
11	0.00480669
12	0.00280584
13	0.0039019
14	0.00536049
15	0.00529101
16	0.00396825
17	0.00315126
18	0.00571895
19	0.00657895
20	0.00315789
21	0.00306122
22	0.00468975
23	0.00474308
24	0.00652174
25	0.00111111
26	0.00369231
27	0.00807217
28	0.0042328
29	0.00287356
30	0.00344828
31	0.0016129
32	0.00336022
33	0.00568182
34	0.00534759
35	0.0022409
36	0.00634921
37	0.0035035
38	0.0056899
40	0.00384615
41	0.00243902
42	0.00542005
43	0.00166113
44	0.00352361
45	0.00176768
47	0.00370028
48	0.00650118
52	0.00565611
53	0.00290276
54	0.00838574
57	0.00814536
59	0.00292227
64	0.00793651
66	0.0100233
67	0.00587969
75	0.00288288
78	0.0021645
87	0.00294039
88	0.00444096
89	0.0040858
92	0.00358337
96	0.0127193
106	0.00233603
107	0.00423206
123	0.00386512
151	0.00538631
163	0.00621071
178	0.00514188
193	0.00577504
217	0.00503499
