#
# Directed graph - in-degree Distribution. G(5242, 15726). 556 (0.1061) nodes with in-deg > avg deg (6.0), 232 (0.0443) with >2*avg.deg (Sun Oct 29 09:52:12 2017)
#
# In-degree	Count
0	2067
1	1107
2	619
3	351
4	243
5	168
6	131
7	69
8	87
9	54
10	46
11	41
12	27
13	21
14	28
15	24
16	16
17	10
18	14
19	12
20	5
21	5
22	6
23	5
24	6
25	5
26	6
27	2
28	4
29	3
30	2
31	2
32	3
33	2
34	3
35	1
37	1
38	1
39	3
40	2
41	3
42	4
44	3
45	3
49	2
50	1
51	1
54	1
56	1
60	1
61	1
63	1
64	1
72	1
75	2
84	1
85	2
86	1
89	1
93	1
103	1
104	1
120	1
146	1
161	1
178	1
189	1
216	1
